com.samsung.health.sleep
time_offset,end_time,pkg_name,start_time,custom,comment,datauuid,deviceuuid,update_time,create_time
7200000,2016-03-03 08:20:00.000,com.sec.android.app.shealth,2016-03-02 23:00:00.000,,,3c794627-8707-44f0-bad7-261d7d06694a,1jGJNdpU+S,2016-03-03 14:01:07.834,2016-03-03 14:01:07.834
10800000,2016-04-19 08:00:00.000,com.sec.android.app.shealth,2016-04-18 23:50:00.000,,,fb775ad9-bc2f-43ad-930c-f1111df678d7,1jGJNdpU+S,2016-04-19 11:01:22.614,2016-04-19 11:01:22.614
10800000,2016-05-04 08:00:00.000,com.sec.android.app.shealth,2016-05-04 00:10:00.000,,,521e8c86-0ff0-475e-beb4-0e72b1e22a4d,1jGJNdpU+S,2016-05-04 08:17:41.503,2016-05-04 08:17:41.503
7200000,2016-02-07 09:10:00.000,com.sec.android.app.shealth,2016-02-06 23:30:00.000,,,73638a02-16b4-492d-9226-07c3bee4930e,1jGJNdpU+S,2016-02-07 17:39:49.564,2016-02-07 17:39:49.564
7200000,2016-01-27 09:10:00.000,com.sec.android.app.shealth,2016-01-27 00:30:00.000,,,ead4fb16-1a23-40e7-87be-ae3cfb510da1,1jGJNdpU+S,2016-01-27 12:52:38.744,2016-01-27 12:52:38.744
7200000,2016-01-03 08:00:00.000,com.sec.android.app.shealth,2016-01-02 20:10:00.000,,,166500d3-0976-447d-8161-bd821639a34d,1jGJNdpU+S,2016-01-03 12:21:53.472,2016-01-03 12:21:53.472
7200000,2015-12-18 09:40:00.000,com.sec.android.app.shealth,2015-12-18 01:10:00.000,,,7a649956-1390-4a8e-a876-cf18722470d7,1jGJNdpU+S,2015-12-18 12:35:02.475,2015-12-18 12:35:02.475
7200000,2016-02-19 08:00:00.000,com.sec.android.app.shealth,2016-02-18 23:00:00.000,,,a937402a-9353-4214-8830-96d59f91ce92,1jGJNdpU+S,2016-02-19 14:00:58.238,2016-02-19 14:00:58.238
7200000,2016-04-16 09:00:00.000,com.sec.android.app.shealth,2016-04-16 01:00:00.000,,,3a027c7f-37a7-4d4b-a622-03e8aa9dc271,1jGJNdpU+S,2016-04-16 10:27:40.029,2016-04-16 10:27:40.029
10800000,2016-05-08 06:10:00.000,com.sec.android.app.shealth,2016-05-07 21:50:00.000,,,34aee0f3-f704-442e-ad25-2546ccf81667,1jGJNdpU+S,2016-05-08 08:30:23.854,2016-05-08 08:30:23.854
7200000,2016-03-19 08:40:00.000,com.sec.android.app.shealth,2016-03-19 01:00:00.000,,,db1b59d8-cd5c-40fc-a0bd-0efec857f6d5,1jGJNdpU+S,2016-03-19 11:06:47.957,2016-03-19 11:06:47.957
10800000,2016-06-03 08:30:00.000,com.sec.android.app.shealth,2016-06-02 23:30:00.000,,,0d4c74b9-cc49-4efc-9aab-1b57538bd53a,1jGJNdpU+S,2016-06-03 11:07:46.071,2016-06-03 11:07:46.071
7200000,2016-01-17 10:20:00.000,com.sec.android.app.shealth,2016-01-17 02:00:00.000,,,f79e8bf1-f1b6-4cbc-b209-de1c8a842a63,1jGJNdpU+S,2016-01-17 12:00:24.949,2016-01-17 12:00:24.949
7200000,2016-03-02 08:00:00.000,com.sec.android.app.shealth,2016-03-02 00:00:00.000,,,1cd67ac0-9f85-44b6-94ee-259ceb0873d1,1jGJNdpU+S,2016-03-02 12:01:24.126,2016-03-02 12:01:24.126
10800000,2016-05-17 08:20:00.000,com.sec.android.app.shealth,2016-05-17 00:40:00.000,,,c6f6ccb9-c067-4c4a-8d8c-e1c6e33d67f2,1jGJNdpU+S,2016-05-17 12:36:47.014,2016-05-17 12:36:47.014
7200000,2015-12-16 09:00:00.000,com.sec.android.app.shealth,2015-12-16 00:30:00.000,,,0568d52f-51b3-4700-8e10-fedd1cb82265,1jGJNdpU+S,2015-12-16 09:47:39.935,2015-12-16 09:47:39.935
7200000,2016-03-12 07:50:00.000,com.sec.android.app.shealth,2016-03-12 02:00:00.000,,,a0972b37-0960-4e01-bab7-c5b9da256410,1jGJNdpU+S,2016-03-12 11:00:53.255,2016-03-12 11:00:53.255
7200000,2016-02-06 07:50:00.000,com.sec.android.app.shealth,2016-02-06 00:20:00.000,,,8bcf6be5-d20b-4c99-9acd-adc934c73fca,1jGJNdpU+S,2016-02-06 12:04:03.615,2016-02-06 12:04:03.615
10800000,2016-04-07 09:20:00.000,com.sec.android.app.shealth,2016-04-06 23:10:00.000,,,2951a698-eb4a-4887-afbf-5645e8976260,1jGJNdpU+S,2016-04-07 11:01:22.543,2016-04-07 11:01:22.543
7200000,2016-02-11 08:00:00.000,com.sec.android.app.shealth,2016-02-11 00:30:00.000,,,4cb9693e-7bc2-4969-bfcd-463fe0e5519d,1jGJNdpU+S,2016-02-11 13:07:58.341,2016-02-11 13:07:58.341
